metric,value
N,14205
T2DM events,1295
Mean follow-up years,5.826011967617037
Median follow-up years,7
Loneliness prevalence,.2948961633227737
Social isolation prevalence,.1357972544878564
Mean social isolation score,.7678282294966561
Mean age,59.24146427314326
Male prevalence,.4803942273847237
